company,added_date,status,description,website,headcount,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_type,last_funding_lead_investor,company_address,growth_metrics,source_page,source_row,raw_row_text
Buffalo Market,"Jul 28, 2025 12.57 PM",,specializing in the efficient distribution of_ Buffalo Market is food distributor buffalomarket com San Francisco riffalomarket,buffalomarket.com,11-50,Venture Capital,2019,,42.2,Series,Coughdrop Capital,"800 Market Street; San Francisco, CA 94117, US",-11% | ~21% | 1% | ~27% | -27% | 36 % | 39% | 220%,,,"Buffalo Market | Jul 28, 2025 12.57 PM | specializing in the efficient distribution of_ | Buffalo Market is | food distributor | buffalomarket com | 11-50 | United States | (USA) | California | San Francisco | riffalomarket | Load contacts | ntacts | Venture Capital | 2019 | 42.2 | 18.5 | Jul | 2023 | Series | Coughdrop Capital | nla | Evolution Venture: | nla | nla | nja | nja | -11% | ~21% | 1% | ~27% | -27% | 36 % | 39% | 220% | nfa | nla | 800 Market Street; San Francisco, CA 94117, US | nfa | nla | nla | nia | nia"
Builder Prime,"Jul 28, 2025 12.57 PM",save,provides an all-in-one CRM and estimating__. software company that Staten Island bulilderprime,builderprime.com,11-50,Private Equity,2016,,,Series,Blueprint Equity,"Staten Island; NY 10314, US","10% | 13% | 57% | 477% | 1,633% | '500% | 17%",,,"save | hide | | Builder Prime | Jul 28, 2025 12.57 PM | Builder Prime | provides an all-in-one CRM and estimating__. | software company that | builderprime.com | 11-50 | United States | (USA) | New York | Staten Island | bulilderprime | Load contacts | ntacts | Private Equity | 2016 | nla | May 30, 2023 | Series | Blueprint Equity | nla | Blueprint Equity | nla | nla | nla | nla | 10% | 13% | 57% | 477% | 1,633% | '500% | nla | 17% | Staten Island; NY 10314, US | nla | nla | nla | nla | nla"
Burq,"Jul 28, 2025 12.57 PM",save,Burq is a delivery service company that provides on-demand and same-day delivery__ burqup com San Francisco bulrq,burqup.com,51-200,Venture Capital,2021,,10.5,Series,Deep Tech Fund (an Alumn,"May 23, 2024","5% | 8% | 8 % | 61% | 182% | 393% | 1,028%",,,"save | hide | | Burq | Jul 28, 2025 12.57 PM | Burq is a delivery service company that | provides on-demand and same-day delivery__ | burqup com | 51-200 | United States | (USA) | California | San Francisco | bulrq | Load contacts | ntacts | Venture Capital | 2021 | 10.5 | 10.5 | May 23, 2024 | Series | Deep Tech Fund (an Alumn | nla | Bdmi | Mantis | nla | nla | nla | nla | 5% | 8% | 8 % | 61% | 182% | 393% | 1,028% | nla | nla | nla | nla | nla | nla | nla | nla"
BuyCo,"Jul 28, 2025 12.57 PM",save | hide,BuyCo is in container shipping solutions. logistics platform that specializes offers a . Marseille buyco4shipping,buyco.co,51-200,Venture Capital,2015,,9.7,Series,Banque Populaire du Sud,"37 bld Paul Peyral; MARSEILLE, PACA 13006, FR",33% | 10% | 12% | -13% | 1% | 28% | 106%,,,"save | hide | BuyCo | Jul 28, 2025 12.57 PM | BuyCo is | in container shipping solutions. | logistics platform that specializes | offers a . | buyco.co | 51-200 | France | Provence-Alpes - | Cote D'Azur | Marseille | buyco4shipping | Load contacts | ntacts | Venture Capital | 2015 | 9.7 | nla | Jul 23, 2023 | Series | Banque Populaire du Sud | nla | Cma Cgm | Od | nla | nla | nla | nla | 33% | 10% | 12% | -13% | 1% | 28% | 106% | nla | 37 bld Paul Peyral; MARSEILLE, PACA 13006, FR | nla | nla | nla | nla | nla"
byrd,"Jul 28, 2025 12.57 PM",save | hide,Byrd [ commerce fulfillment services. logistics company specializing offers _ getbyrd com,getbyrd.com,201-500,Venture Capital,2016,,82.9,,,"Wiedner HauptstraBe 24; 12a; Vienna, Wien 1040, AT",-7% | ~4% | 4% | -7% | -29% | ~37% | 65% | 200%,,,"save | hide | byrd | Jul 28, 2025 12.57 PM | Byrd [ | commerce fulfillment services. | logistics company specializing | offers _ | getbyrd com | 201-500 | 144 | Austria | Vienna | Vienna | byrd | Load contacts | ntacts | Venture Capital | 2016 | 82.9 | 55.8 | May | 2022 | Series C | Cambridge Capital LLC | nla | Mouro Capital | nla | nla | nla | 26 | nla | -7% | ~4% | 4% | -79 | -7% | -29% | ~37% | 65% | 200% | ~nla | Wiedner HauptstraBe 24; 12a; Vienna, Wien 1040, AT | nla | nla | nfa | nla | ~nla"
Calendly,"Jul 28, 2025 12.57 PM",,that provides Calendly is scheduling software company platform for automating__ calendly com Atlanta cailendly,calendly.com,"501-1,000",Venture Capital,,350.6,350,Series,Iconiq,"271 I7th St NW; IOth Floor; Atlanta, Georgia 30363, US",~5% | -14% | -14% | ~14% | -19% | 6% | 100% | 253% | 4%,,,"Calendly | Jul 28, 2025 12.57 PM | that provides | Calendly is | scheduling software company | platform for automating__ | calendly com | 501-1,000 | 558 | United States | (USA) | Georgia | Atlanta | cailendly | Load contacts | ntacts | Venture Capital | nla | 350.6 | 350 | Jan 25, 2021 | Series | Iconiq | Corporate | OpenView | prelude co | 4.8M - 4.8M | nla | ~5% | -14% | -14% | ~14% | -19% | 6% | 100% | 253% | 4% | 271 I7th St NW; IOth Floor; Atlanta, Georgia 30363, US | nla | nla | nla | nia | nla"
Camunda,"Jul 28, 2025 12.57 PM",save,specializes workflow and decision . software company that ~camunda com caimunda-services - ginbh,camunda.com,"501-1,000",Private Equity,2008,,126.2,Series,Highland Europe,"Strasse 55-58; Berlin, Deutschland 10961,DE",2% | 6% | 16 % | 50% | 75% | 93% | 202% | -9%,,,"save | Camunda | Jul 28, 2025 12.57 PM | specializes | Camunda | workflow and decision . | software company that | ~camunda com | 501-1,000 | 550 | Germany | Berlin | Berlin | caimunda-services - | ginbh | Load contacts | ntacts | Private Equity | 2008 | 126.2 | 97.8 | Mar 21, 2021 | Series | Highland Europe | nla | Highland Europe | nla | nla | nla | nla | 2% | 6% | 16 % | 50% | 75% | 93% | 202% | -9% | Zossene | Strasse 55-58; Berlin, Deutschland 10961,DE | nla | nla | nla | nla | nla"
Canibuild,"Jul 28, 2025 12.57 PM",save | hide,canibuild innovative innovative site planning solutions for__. canibuild is cme software company that provides planning solutions fon ' canibuild com verumtek,canibuild.com,51-200,Venture Capital,2020,,9.4,Series,Evp,"Barangaroo, New South Wales 2000,AU",-1% | ~1% | ~4% | -4% | 4% | 7% | -7% | 50% | 246% | 542% | 16% | 16 %,,,"save | Chide | hide | Canibuild | Jul 28, 2025 12.57 PM | canibuild | innovative | innovative site planning solutions for__. | canibuild is | cme | software company that provides | planning solutions | fon ' | canibuild.com | canibuild com | 51-200 | 90 | Australia | New South Wales | Barangaroo | verumtek | Load contacts | ntacts | Venture Capital | 2020 | 9.4 | 5.8 | Mar | 2022 | Series | Evp | nja | nla | Evp | Regal Fur | nja | nla | nfa | nla | nfa | nja | nla | -1% | ~1% | ~4% | -4% | 4% | 7% | -7% | 50% | 246% | 542% | 16% | 16 % | 100 Barangaroo Ave; Level 35, International Tower One; | Barangaroo, New South Wales 2000,AU | nfa | nja | nfa | nja | nfa | nja | nja | ~nla | nja"
carbmee,"Jul 28, 2025 12.57 PM",save,that specializes Carbmee carbon management company providing automated__. carbmee com cairbmee,carbmee.com,51-200,Venture Capital,2021,,2024,Series,CommerzVentures,"Rosenthaler StraBe; 36; Berlin, 10178,DE",22% | 44% | 60% | 50% | 75% | 800%,,,"save | carbmee | Jul 28, 2025 12.57 PM | that specializes | Carbmee | carbon management company | providing automated__. | carbmee com | 51-200 | Germany | Berlin | Berlin | cairbmee | Load contacts | ntacts | Venture Capital | 2021 | Dec | 2024 | Series | CommerzVentures | nla | Fly Ventures | nla | nla | nla | nla | 22% | 44% | 60% | 50% | 75% | 800% | nla | nla | Rosenthaler StraBe; 36; Berlin, 10178,DE | nla | nla | nla | nla | nla"
CartonCloud,"Jul 28, 2025 12.57 PM",save | hide,that offers cloud-based solutions for__ CartonCloud is a logistics software provider cairtoncloud,cartoncloud.com,51-200,Venture Capital,2014,,10.8,Series,nla,"27-29 Dover Drive; Burleigh Heads, QLD 4220, AU",1% | 3% | 3% | 10% | 44% | 116 % | 209% | 11%,,,"save | hide | CartonCloud | Jul 28, 2025 12.57 PM | that offers cloud-based solutions for__ | CartonCloud is a logistics software provider | cartoncloud.com | 51-200 | Australia | Queensland | Burleigh Heads | cairtoncloud | Load contacts | ntacts | Venture Capital | 2014 | 10.8 | 8.5 | Jan 30, 2022 | Series | nla | nla | qic comau | nla | nla | nla | nla | 1% | 3% | 3% | 10% | 44% | 116 % | 209% | 11% | 27-29 Dover Drive; Burleigh Heads, QLD 4220, AU | nla | nla | nla | nla | nla"
Cascade,"Jul 28, 2025 12.57 PM",save | hide,Cascade = offers ~offers comprehensive platform for strateg_ comprehensive platform for strateg .. strategy software company that cascade app ciiscade-strategy caiscade-strategy,cascade.app,51-200,Venture Capital,2016,,20,Series,Carthona Capital,"10005, US",9% | 24% | -2% | ~3% | 3% | 25% | 46% | -11%,,,"save | Khide | hide | Cascade | Jul 28, 2025 12.57 PM | Cascade = | offers | ~offers | Cascade | comprehensive platform for strateg_ | comprehensive platform for strateg .. | strategy software company that | cascade.app | cascade app | 51-200 | 234 | United States | (USA) | New York | New York | ciiscade-strategy | caiscade-strategy | Load contacts | ntacts | Venture Capital | 2016 | Mar 20, 2022 | Series = | Series | Carthona Capital | nfa | nja | Five | Capital | nja | nfa | nla | nja | nla | nja | 20 | nla | 9% | 24% | -2% | ~3% | 3% | 25% | 46% | nla | nja | -11% | 30 Wall St; 11C; New | 30 Wall St; I1C; New York; NY 10005,US | York; | NY - | 10005, US | nla | nja | nla | nja | nla | nja | nla | nja | ~nla | nla"
CBX Soitware,"Jul 28, 2025 12.57 PM",save,software provider that offers TradeBeyond supply chain management ~suite of__ cbxsoftware com Hong Kong SAR nia xsoftware,cbxsoftware.com,201-500,Venture Capital,1995,,2022,Series,Baring Private Equity Asia,,1% | 3% | 8 %,,,"save | Chide | CBX Soitware | Jul 28, 2025 12.57 PM | software provider that offers | TradeBeyond | supply chain management | ~suite of__ | cbxsoftware com | 201-500 | 161 | Hong Kong | SAR | nla | nia | xsoftware | Load contacts | ntacts | Venture Capital | 1995 | May | 2022 | Series | Baring Private Equity Asia | nja | Baring Private Equ | nja | nla | nja | nla | nla | nla | nja | nla | nja | nja | 1% | 3% | 8 % | nla | nja | nla | nla | nla | nja"
Celus,"Jul 28, 2025 12.57 PM",hide,specializing in electronics design solutions I. CELUS GmbH is = technology company celus io caintunity,celus.io,51-200,Venture Capital,2018,,31.6,Series,2xN,"RidlerstraBe 57; Munich, Bavaria 80339, DE",0% | 24% | 35% | 116 % | 236 % | 266 % | 55%,,,"hide | Celus | Jul 28, 2025 12.57 PM | specializing in electronics design solutions I. | CELUS GmbH is = | technology company | celus io | 51-200 | Germany | Bavaria | Munich | caintunity | Load contacts | ntacts | Venture Capital | 2018 | 31.6 | 25.5 | Jul % | 2022 | Series | 2xN | nla | Plug and Play Tecl | nja | nla | nja | nja | nla | 0% | 24% | 35% | 116 % | 236 % | 266 % | 55% | RidlerstraBe 57; Munich, Bavaria 80339, DE | nla | nla | nla | nla | nla"
Chain.io,"Jul 28, 2025 12.57 PM",save | hide,specializes Chain.io is a logistics software provider that integration solutions for the. chain.io Philadelphia Jain.io,chain.io,11-50,Venture Capital,2017,,,Series,Eve Atlas,"399 Market Street; Suite 360; Philadelphia; PA 19106,US",~3% | -11% | 11% | ~17% | -17% | ~33% | ~34% | 18 % | 146% | 128 %,,,"save | hide | Chain.io | Jul 28, 2025 12.57 PM | specializes | Chain.io is a logistics software provider that | integration solutions for the. | chain.io | 11-50 | United States | (USA) | Pennsylvania | Philadelphia | Jain.io | Load contacts | ntacts | Venture Capital | 2017 | Jun 14, 2022 | Series | Eve Atlas | nla | Eve Atlas | Wa} | nla | nla | nla | nla | ~3% | -11% | 11% | ~17% | -17% | ~33% | ~34% | 18 % | 146% | 128 % | 399 Market Street; Suite 360; Philadelphia; PA 19106,US | nla | nla | nla | nla | nlal"
ChannelEngine,"Jul 28, 2025 12.57 PM",save | hide,provides ecommerce solutions for brands ChannelEngine [ digital platform that channelengine,channelengine.com,51-200,Private Equity,2013,,57.2,Series,Airbridge Equity Partners,"Vondellaan 47; Leiden, 2332AA , NL",1% | ~0% | 0% | -3% | 3% | -19% | 24% | 121% | 394% | 12%,,,"save | hide | ChannelEngine | Jul 28, 2025 12.57 PM | provides ecommerce solutions for brands | ChannelEngine [ | digital platform that | channelengine.com | 51-200 | 193 | Netherlands | South Holland | Leiden | channelengine | Load contacts | ntacts | Private Equity | 2013 | 57.2 | 49.9 | Mar 14, 2022 | Series | Airbridge Equity Partners | Corporate | ~silverpointventure: | vendiro nl | nfa | 20 | nla | 1% | ~0% | 0% | -3% | 3% | -19% | 24% | 121% | 394% | 12% | Vondellaan 47; Leiden, 2332AA , NL | nfa | nfa | nfa | nla | nla"
ChapsVision,"Jul 28, 2025 12.57 PM",save,"specializes in data analysis and customer_ ChapsVision is software company that chapsvision.fr 501- -1,000 641 France ile-De-France Suresnes chiapsvision",chapsvision.fr,,Private Equity,2019,,283.5,,,"92150, FR","105% | 137% | 161% | 262% | 416 % | 1,426 % | 7,912% | -32%",,,"save | Chide | ChapsVision | Jul 28, 2025 12.57 PM | specializes in data analysis and customer_ | ChapsVision is | software company that | chapsvision.fr | 501- | -1,000 | 641 | France | ile-De-France | Suresnes | chiapsvision | Load contacts | ntacts | Private Equity | 2019 | 283.5 | 90.1 | Nov 17, 2024 | Series € | Bpifrance French Tech Acc | Corporate | Bpifrance French | Coheris | Sparl | nja | nla | 105% | 137% | 161% | 262% | 416 % | 1,426 % | 7,912% | -32% | Rue du Port aux Vins; Suresnes; Ile-de-France | 92150, FR | nla | nla | nla | nja | nla"
Cheetah,"Jul 28, 2025 12.57 PM",,specializing in eCommerce solutions for the. Cheetah is a technology company gocheetah com San Francisco chieetah,jmdfood.com,51-200,Venture Capital,2014,,127.7,Series,FJ Labs,"351 9th Street; Suite 302; San Francisco, CA 94103,US",56 %,,,"Cheetah | Jul 28, 2025 12.57 PM | specializing in eCommerce solutions for the. | Cheetah is a technology company | gocheetah com | 51-200 | 129 | United States | (USA) | California | San Francisco | chieetah | Load contacts | ntacts | Venture Capital | 2014 | 127.7 | nla | Mar 12 , 2024 | Series | FJ Labs | Corporate | Iconiq | Com | jmdfood.com | nja | nja | nla | nla | nfa | nla | nfa | nla | nfa | nla | nfa | 56 % | 351 9th Street; Suite 302; San Francisco, CA 94103,US | nla | nla | nla | nla | nla"
ClimateAi,"Jul 28, 2025 12.57 PM",save | hide,that offers advanced Al-driven solutions for__. ClimateAi is - climate intelligence provider San Francisco climateai,climate.ai,51-200,Venture Capital,2017,,38.2,Series,academyinvestorcom,"353 Sacramento St; San Francisco, California 94111, US",6% | 6% | ~31% | ~33% | -15% | 37% | 218 % | 69%,,,"save | hide | ClimateAi | Jul 28, 2025 12.57 PM | that offers advanced Al-driven solutions for__. | ClimateAi is - | climate intelligence provider | climate.ai | 51-200 | United States | (USA) | California | San Francisco | climateai | Load contacts | ntacts | Venture Capital | 2017 | 38.2 | Apr 12, 2023 | Series | academyinvestorcom | Venture Capital | FootPrint Coalition | nla | nla | nla | nla | 6% | 6% | ~31% | ~33% | -15% | 37% | 218 % | 69% | 353 Sacramento St; San Francisco, California 94111, US | nla | nla | nla | nla | nla"
CLO Virtual Fashion,"Jul 28, 2025 12.57 PM",save,specializing in 3D garment simulation and_. CLO Virtual Fashion is software company clovirtualfashion con clo-virtual-fashion- inc-,kdbcapital.co,201-500,Private Equity,2009,,40.7,Series,Atinum Investment,"Gangnam-gu, Seoul, Republic of Korea; Gangnam",~17%,,,"save | CLO Virtual Fashion | Jul 28, 2025 12.57 PM | specializing in 3D garment simulation and_. | CLO Virtual Fashion is | software company | clovirtualfashion con | 201-500 | 425 | South Korea | Seoul | Seoul | clo-virtual-fashion- | inc- | Load contacts | ntacts | Private Equity | 2009 | 40.7 | 34.8 | Dec 15, 2024 | Series | Atinum Investment | Corporate | kdbcapital.co.kr | SwatchOn Co., Ltc | 5.7M | 5.9M | nla | nla | nla | nfa | nla | nla | nla | nla | nla | ~17% | Teheran-ro; | Finance Center; Seoul, 152 06236,KR | Gangnam-gu, Seoul, Republic of Korea; Gangnam | nla | nla | nla | nla | nla"
CloudCart,"Jul 28, 2025 12.57 PM",save,CloudCart is an eCommerce platform that provides comprehensive solutions for_ cloudcart com Bulgaria Sofia City Sofia cloudcart-Ilc,cloudcart.com,11-50,Venture Capital,2016,,,Series,Elevator Ventures,"ulitsa Panorama Sofia 5; Sofia, Sofia 1766,BG",5% | -9% | 9% | -18% | -18 % | ~4% | 17% | 14% | 269% | -10%,,,"save | (hide | CloudCart | Jul 28,2025 12.57 PM | CloudCart is an eCommerce platform that | provides comprehensive solutions for_ | cloudcart com | 11-50 | Bulgaria | Sofia City | Sofia | cloudcart-Ilc | Load contacts | ntacts | Venture Capital | 2016 | nla | Dec 19, 2021 | Series | Elevator Ventures | nja | Elevator Ventures | nia | nja | nja | nja | 5% | -9% | 9% | -18% | -18 % | ~4% | 17% | 14% | 269% | -10% | ulitsa Panorama Sofia 5; Sofia, Sofia 1766,BG | nia | nja | nla | nla | nja"
Coefficient,"Jul 28, 2025 12.57 PM",hide,~company that provides tools for connecting _. company thaj Coefficient is provides tools for connecting _ data automation software coefficientio Palo Alto criefficientworks ctiefficientworks,coefficient.io,51-200,Venture Capital,2020,,24.7,Series,Battery Ventures,"Palo Alto, CA 94301, US",6 % | 3% | 3 % | 17% | 60% | 214% | 407% | 725% | -0% | 0%,,,"ave | Khide | hide | Coefficient | Jul 28, 2025 12.57 PM | Jul 28,2025 12.57 PM | ~company that provides tools for connecting _. | company thaj | Coefficient is | provides tools for connecting _ | data automation software | coefficient.io | coefficientio | 51-200 | United States | (USA) | California | Palo Alto | criefficientworks | ctiefficientworks | Load contacts | ntacts | Venture Capital | 2020 | 24.7 | Nov | 2022 | Series | Battery Ventures | Corporate | S28capital com | S28capital.com | Vibrant Planet | 15M | I5M - I5M | 15M | nla | 6 % | 3% | 3 % | 17% | 60% | 214% | 407% | 725% | -0% | 0% | Palo Alto, CA 94301, US | nla | nla | nla | nla | nla"
